MODEL,SCENARIO,REGION,VARIABLE,UNIT,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
IEA,Historic data,AGO,Final Energy|Gases|Natural Gas,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015102,0.0020007,0.002282401,0.002388599,0.002282401,0.001988998,0.002482199,0.002482199,0.002482199,0.0027009,0.0031491019999999,0.0031491019999999,0.003597299,0.0040491,0.0040491,0.004497301,0.0053982,0.0054881999999999,0.0058499979999999,0.018468,0.019835999,0.0194939999999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0194939999999999,0.019835999,0.0191520019999999,0.0194939999999999,0.018126001,0.020520001,0.022229999,0.025649999,0.022229999,0.023255999,0.028386002,0.023255999,0.023597998,0.0253079999999999,0.025649999,0.025992002,0.012475802,0.0089811,0.026334001,0.0246537,0.013650052,0.0231368679999999,0.014799228,0.010227561,0.012921306,0.014011926,0.0155836919999999,0.0
IEA,Historic data,AGO,Final Energy|Heat,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|Hydrogen,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|Industry,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0079297989999997,0.0096854999999997,0.0096104019999999,0.009808002,0.009460803999999799,0.007763796999999999,0.0080981959999999,0.009955598999999999,0.0094727979999999,0.0098462969999999,0.0103784989999998,0.0102816959999999,0.0105774929999999,0.015134901,0.0173537949999999,0.0162636989999998,0.0175720939999998,0.0176780969999998,0.0188379969999998,0.0343649029999999,0.033257493999999804,0.0342932959999998,0.0405940029999998,0.0330176029999998,0.0350344049999998,0.0364602029999997,0.0353724969999996,0.0333477029999999,0.033426698999999796,0.0395904049999999,0.041477097999999796,0.046469203999999896,0.0477984969999999,0.0499121989999999,0.0437159989999998,0.0494468939999998,0.055163309999999896,0.0532476999999996,0.0590905979999999,0.0619292029999997,0.0625842949999999,0.0682015979999999,0.059907808,0.0574989979999999,0.0701722089999999,0.07384779699999991,0.057072597999999995,0.0676844359999996,0.0624236759999999,0.0555278279999998,0.058867676,0.061699231999999896,0.0634318239999997,0.0
IEA,Historic data,AGO,Final Energy|Industry|Electricity,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004643999999999,0.000525598,0.000619198,0.000774001,0.000820801,0.000367199,0.000367199,0.000367199,0.000396,0.000424801,0.000424801,0.000453598,0.000493201,0.0004212,0.000507599,0.000507599,0.000507599,0.0005112,0.000514801,0.000565201,0.0006875979999999,0.0007199999999999,0.0007199999999999,0.0007236,0.000727201,0.000777602,0.0010907999999999,0.001191601,0.001205999,0.0013032,0.001479598,0.001591202,0.001836,0.001691999,0.002012398,0.0027863989999999,0.0030167989999999,0.003927599,0.004784399,0.005691599,0.005925599,0.008085598,0.0085356,0.0099576,0.0101843989999999,0.011437199,0.011260131,0.013711431,0.015733467,0.017357531,0.01610716,0.015707333,0.016462916,0.0
IEA,Historic data,AGO,Final Energy|Industry|Gases,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015102,0.0020007,0.002282401,0.002388599,0.002282401,0.001988998,0.002482199,0.002482199,0.002482199,0.0027009,0.0031491019999999,0.0031491019999999,0.003597299,0.0040491,0.0040491,0.004497301,0.0053982,0.0054881999999999,0.0058499979999999,0.018468,0.019835999,0.0194939999999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0194939999999999,0.019835999,0.0191520019999999,0.0194939999999999,0.018126001,0.020520001,0.022229999,0.025649999,0.022229999,0.023255999,0.028386002,0.023255999,0.023597998,0.0253079999999999,0.025649999,0.025992002,0.012475802,0.0089811,0.026334001,0.0246537,0.013650052,0.0231368679999999,0.014799228,0.010227561,0.012921306,0.014011926,0.0155836919999999,0.0
IEA,Historic data,AGO,Final Energy|Industry|Gases|Biomass,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|Industry|Gases|Electricity,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IEA,Historic data,AGO,Final Energy|Industry|Gases|Natural Gas,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015102,0.0020007,0.002282401,0.002388599,0.002282401,0.001988998,0.002482199,0.002482199,0.002482199,0.0027009,0.0031491019999999,0.0031491019999999,0.003597299,0.0040491,0.0040491,0.004497301,0.0053982,0.0054881999999999,0.0058499979999999,0.018468,0.019835999,0.0194939999999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0191520019999999,0.0194939999999999,0.019835999,0.0191520019999999,0.0194939999999999,0.018126001,0.020520001,0.022229999,0.025649999,0.022229999,0.023255999,0.028386002,0.023255999,0.023597998,0.0253079999999999,0.025649999,0.025992002,0.012475802,0.0089811,0.026334001,0.0246537,0.013650052,0.0231368679999999,0.014799228,0.010227561,0.012921306,0.014011926,0.0155836919999999,0.0
IEA,Historic data,AGO,Final Energy|Industry|Heat,EJ/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
